Mtot,A_free,tau,t_today
10.817,16.39538675774879,25.841972212111596,12.678
10.4966,7.583690844899954,34.6743423532205,12.543
10.7747,13.000658369670637,45.46760070975853,12.465
10.9508,18.840334052209098,47.46535136885352,12.505
10.4713,34.39805424038112,6.599540332394181,12.621
10.4058,10.26766872876861,37.262967311786646,12.45
10.5278,9.689085056200957,46.89917102861648,12.458
10.521,13.887650611229857,48.715633743534326,12.496
10.8418,11.905494306590022,48.95982187385273,12.448
10.7656,12.158153321534783,30.416949427565193,12.414
10.4498,15.879039990613816,38.51315995882822,12.505
10.3073,8.542041237294093,18.54128745974687,12.141
10.9131,13.383197470107909,48.91088652373189,12.446
10.3939,11.45011759210099,51.213337696218154,12.516
10.5512,12.794303080298276,31.12464658432736,12.315
10.7475,2835.5749504745104,3.750915711851864,11.594
10.9018,14.716951607905424,30.845781540103914,12.589
10.7415,15.014253751494032,32.95028795300461,12.385
10.6992,12.268070587183473,42.30900721883781,12.496
10.5664,10.665348197421814,35.092941030349856,12.474
10.2506,9.786461979908495,39.646394072572605,12.451
10.888,12.268070587183473,44.880347318039796,12.497
10.7845,8.524974227518282,48.230905088771514,12.413
10.5658,5.771892405660934,52.14352433963712,12.503
